<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.12	14:00:00	3392.055	3393.140	3382.938	3383.821	23964	0	160
2025.06.12	15:00:00	3383.903	3390.287	3377.784	3385.876	17444	0	160
2025.06.12	16:00:00	3385.906	3391.374	3380.961	3383.790	11899	0	160
2025.06.12	17:00:00	3383.759	3385.039	3378.097	3382.637	8596	0	160
2025.06.12	18:00:00	3382.677	3386.304	3381.864	3385.904	5902	0	160
2025.06.12	19:00:00	3385.858	3389.396	3384.737	3388.139	5310	0	160
2025.06.12	20:00:00	3388.111	3389.007	3384.746	3385.813	3544	0	160
2025.06.12	22:00:00	3385.856	3385.955	3379.633	3383.339	4951	0	160
2025.06.12	23:00:00	3383.346	3396.320	3382.584	3395.882	6617	0	160
2025.06.13	00:00:00	3395.837	3419.987	3391.693	3416.859	45078	0	160
2025.06.13	01:00:00	3416.944	3433.429	3413.974	3427.655	27579	0	160
2025.06.13	02:00:00	3427.539	3444.171	3424.783	3441.434	18726	0	160
2025.06.13	03:00:00	3441.405	3444.400	3423.805	3425.557	19921	0	160
2025.06.13	04:00:00	3425.543	3430.310	3422.611	3425.305	11133	0	160
2025.06.13	05:00:00	3425.336	3428.830	3417.976	3425.995	13308	0	160
2025.06.13	06:00:00	3426.096	3428.693	3408.376	3416.206	16411	0	160
2025.06.13	07:00:00	3416.229	3419.000	3407.879	3414.933	14568	0	160
2025.06.13	08:00:00	3414.863	3426.064	3414.308	3424.446	10973	0	160
2025.06.13	09:00:00	3424.345	3427.328	3420.025	3424.255	11985	0	160
2025.06.13	10:00:00	3424.293	3427.684	3411.595	3415.818	14582	0	160
2025.06.13	11:00:00	3415.858	3423.043	3412.496	3422.217	11801	0	160
2025.06.13	12:00:00	3422.207	3438.205	3421.726	3436.641	13360	0	160
2025.06.13	13:00:00	3436.608	3446.819	3433.933	3437.003	22774	0	160
2025.06.13	14:00:00	3436.912	3439.879	3423.727	3427.856	24662	0	160
2025.06.13	15:00:00	3427.824	3430.391	3420.906	3426.206	17731	0	160
2025.06.13	16:00:00	3426.258	3431.114	3419.203	3430.047	9893	0	160
2025.06.13	17:00:00	3430.040	3433.543	3427.411	3430.415	9594	0	160
2025.06.13	18:00:00	3430.343	3439.473	3428.717	3436.555	11106	0	160
2025.06.13	19:00:00	3436.544	3438.191	3431.658	3432.307	9322	0	160
2025.06.13	20:00:00	3432.352	3434.780	3428.965	3433.449	6166	0	160
2025.06.15	22:00:00	3440.955	3451.251	3438.591	3448.312	13411	0	160
2025.06.15	23:00:00	3448.425	3450.167	3439.542	3444.141	11528	0	160
2025.06.16	00:00:00	3444.166	3451.224	3434.314	3436.111	15289	0	160
2025.06.16	01:00:00	3436.135	3443.228	3433.208	3441.510	15584	0	160
2025.06.16	02:00:00	3441.515	3446.399	3437.889	3438.432	10573	0	160
2025.06.16	03:00:00	3438.392	3439.654	3429.244	3431.428	9754	0	160
2025.06.16	04:00:00	3431.496	3433.261	3426.885	3427.567	7312	0	160
2025.06.16	05:00:00	3427.529	3430.435	3417.786	3421.614	13241	0	160
2025.06.16	06:00:00	3421.649	3421.649	3412.999	3418.243	15220	0	160
2025.06.16	07:00:00	3418.192	3419.843	3409.459	3412.619	13094	0	160
2025.06.16	08:00:00	3412.624	3418.536	3409.773	3413.919	10026	0	160
2025.06.16	09:00:00	3413.955	3419.502	3411.917	3412.028	8470	0	160
2025.06.16	10:00:00	3412.075	3421.339	3410.609	3421.028	8357	0	160
2025.06.16	11:00:00	3421.001	3422.697	3410.826	3415.000	9379	0	160
2025.06.16	12:00:00	3415.043	3417.810	3411.048	3415.685	11993	0	160
2025.06.16	13:00:00	3415.648	3418.128	3382.725	3388.131	32897	0	160
2025.06.16	14:00:00	3388.229	3399.436	3387.376	3396.944	27341	0	160
2025.06.16	15:00:00	3396.898	3405.724	3396.898	3404.626	14072	0	160
2025.06.16	16:00:00	3404.534	3404.992	3397.371	3399.473	8980	0	160
2025.06.16	17:00:00	3399.464	3400.231	3391.090	3392.593	7935	0	160
2025.06.16	18:00:00	3392.561	3394.076	3384.012	3385.322	7186	0	160
2025.06.16	19:00:00	3385.336	3388.510	3382.790	3384.094	8163	0	160
2025.06.16	20:00:00	3384.015	3386.083	3383.294	3384.919	3934	0	160
2025.06.16	22:00:00	3386.673	3398.517	3386.442	3395.465	6684	0	160
2025.06.16	23:00:00	3395.451	3402.977	3393.021	3402.769	9910	0	160
2025.06.17	00:00:00	3402.815	3403.256	3391.455	3394.191	14465	0	160
2025.06.17	01:00:00	3394.219	3402.469	3393.321	3393.689	11520	0	160
2025.06.17	02:00:00	3393.700	3400.444	3388.309	3390.069	10576	0	160
2025.06.17	03:00:00	3390.020	3392.591	3373.463	3387.583	15775	0	160
2025.06.17	04:00:00	3387.557	3396.289	3387.060	3393.979	7162	0	160
2025.06.17	05:00:00	3394.024	3395.532	3390.689	3392.641	7792	0	160
2025.06.17	06:00:00	3392.652	3392.652	3381.074	3385.529	11260	0	160
2025.06.17	07:00:00	3385.484	3391.923	3383.134	3387.783	10064	0	160
2025.06.17	08:00:00	3387.784	3388.651	3377.770	3378.876	9959	0	160
2025.06.17	09:00:00	3378.823	3385.976	3375.675	3385.598	12434	0	160
2025.06.17	10:00:00	3385.577	3398.711	3385.327	3398.089	11850	0	160
2025.06.17	11:00:00	3398.106	3400.203	3388.220	3388.635	11308	0	160
2025.06.17	12:00:00	3388.650	3391.590	3383.518	3386.689	16506	0	160
2025.06.17	13:00:00	3386.693	3397.536	3385.842	3390.690	20625	0	160
2025.06.17	14:00:00	3390.656	3392.056	3366.079	3385.032	27172	0	160
2025.06.17	15:00:00	3385.010	3388.286	3372.409	3379.284	14662	0	160
2025.06.17	16:00:00	3379.386	3385.934	3376.651	3382.890	12074	0	160
2025.06.17	17:00:00	3382.897	3391.340	3381.301	3390.258	10396	0	160
2025.06.17	18:00:00	3390.270	3392.499	3382.422	3382.821	8308	0	160
2025.06.17	19:00:00	3382.834	3386.418	3382.296	3385.710	7781	0	160
2025.06.17	20:00:00	3385.675	3390.315	3383.634	3388.822	4557	0	160
2025.06.17	22:00:00	3392.820	3396.217	3388.828	3388.854	5575	0	160
2025.06.17	23:00:00	3388.903	3390.320	3384.926	3387.392	5176	0	160
2025.06.18	00:00:00	3387.295	3388.847	3382.918	3385.853	9023	0	160
2025.06.18	01:00:00	3385.883	3388.688	3378.653	3379.022	9855	0	160
2025.06.18	02:00:00	3378.962	3379.716	3370.655	3379.393	8982	0	160
2025.06.18	03:00:00	3379.433	3391.524	3379.283	3390.960	7360	0	160
2025.06.18	04:00:00	3390.928	3400.011	3389.420	3395.176	7466	0	160
2025.06.18	05:00:00	3395.218	3395.707	3384.215	3386.407	10347	0	160
2025.06.18	06:00:00	3386.426	3386.874	3379.400	3382.381	9747	0	160
2025.06.18	07:00:00	3382.344	3386.195	3377.037	3385.991	8939	0	160
2025.06.18	08:00:00	3385.928	3388.415	3382.560	3383.611	7030	0	160
2025.06.18	09:00:00	3383.604	3385.533	3375.433	3378.079	7011	0	160
2025.06.18	10:00:00	3378.074	3382.389	3375.686	3380.193	8179	0	160
2025.06.18	11:00:00	3380.238	3387.026	3378.918	3382.048	8892	0	160
2025.06.18	12:00:00	3381.999	3389.918	3381.582	3386.582	11094	0	160
2025.06.18	13:00:00	3386.647	3396.852	3385.618	3392.333	13187	0	160
2025.06.18	14:00:00	3392.288	3392.447	3373.833	3386.892	23934	0	160
2025.06.18	15:00:00	3386.924	3392.853	3381.180	3392.680	10193	0	160
2025.06.18	16:00:00	3392.731	3394.683	3389.924	3391.031	6906	0	160
2025.06.18	17:00:00	3391.031	3391.295	3384.291	3385.333	6144	0	160
2025.06.18	18:00:00	3385.394	3395.827	3378.326	3379.067	24894	0	160
2025.06.18	19:00:00	3379.109	3379.244	3362.867	3366.818	25041	0	160
2025.06.18	20:00:00	3366.771	3369.395	3362.474	3368.584	7948	0	160
2025.06.18	22:00:00	3373.198	3379.890	3370.590	3375.178	6547	0	160
2025.06.18	23:00:00	3375.166	3377.063	3370.664	3375.023	6429	0	160
2025.06.19	00:00:00	3375.042	3383.364	3374.691	3379.416	7930	0	160
2025.06.19	01:00:00	3379.474	3387.968	3374.516	3374.895	13843	0	160
2025.06.19	02:00:00	3374.870	3379.478	3373.998	3376.783	7050	0	160
